Dependency Name,Version,Link,Description
@ant-design/icons,5.2.5,"https://www.npmjs.com/package/@ant-design/icons","Ant Design icons library."
@emotion/react,11.11.1,"https://www.npmjs.com/package/@emotion/react","Emotion is a popular CSS-in-JS library."
@emotion/styled,11.11.0,"https://www.npmjs.com/package/@emotion/styled","Emotion Styled is a styling library for Emotion."
@mui/material,5.14.5,"https://www.npmjs.com/package/@mui/material","MUI (formerly Material-UI) is a popular React UI framework."
antd,5.8.3,"https://www.npmjs.com/package/antd","Ant Design is a comprehensive UI design language and framework."
axios,1.4.0,"https://www.npmjs.com/package/axios","Axios is a promise-based HTTP client for the browser and Node.js."
crypto-js,4.1.1,"https://www.npmjs.com/package/crypto-js","Crypto-JS is a library for cryptographic functions in JavaScript."
formik,2.4.3,"https://www.npmjs.com/package/formik","Formik is a popular library for managing forms in React applications."
jwt-decode,3.1.2,"https://www.npmjs.com/package/jwt-decode","jwt-decode is a library for decoding JWT tokens."
react-dom,18.2.0,"https://www.npmjs.com/package/react-dom","React DOM is the entry point to the DOM-specific methods in React."
react-redux,8.1.2,"https://www.npmjs.com/package/react-redux","React Redux is the official state management library for React."
react-router-dom,6.15.0,"https://www.npmjs.com/package/react-router-dom","React Router is a library for routing in React applications."
react-scripts,5.0.1,"https://www.npmjs.com/package/react-scripts","React Scripts is a set of scripts for creating React applications."
react,18.2.0,"https://www.npmjs.com/package/react","React is a JavaScript library for building user interfaces."
redux-persist,6.0.0,"https://www.npmjs.com/package/redux-persist","Redux Persist is a library for persisting Redux store in React Native or web apps."
redux,4.2.1,"https://www.npmjs.com/package/redux","Redux is a predictable state container for JavaScript apps."
yup,1.2.0,"https://www.npmjs.com/package/yup","Yup is a library for schema validation."
